Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
200,Carne de ave / pechuga - 1kg,Marca mas económica,2007,DICIEMBRE,12396
201,Carne de ave / pata entera - 1kg,Marca mas económica,2007,MAYO,10479
202,Carne de ave / pata entera - 1kg,Marca mas económica,2007,JUNIO,10348
203,Carne de ave / pata entera - 1kg,Marca mas económica,2007,JULIO,10514
204,Carne de ave / pata entera - 1kg,Marca mas económica,2007,AGOSTO,10827
205,Carne de ave / pata entera - 1kg,Marca mas económica,2007,SETIEMBRE,11058
206,Carne de ave / pata entera - 1kg,Marca mas económica,2007,OCTUBRE,10904
207,Carne de ave / pata entera - 1kg,Marca mas económica,2007,NOVIEMBRE,10969
208,Carne de ave / pata entera - 1kg,Marca mas económica,2007,DICIEMBRE,11123
209,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,MAYO,8388
210,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,JUNIO,8174
211,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,JULIO,8130
212,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,AGOSTO,8395
213,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,SETIEMBRE,8252
214,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,OCTUBRE,7882
215,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,NOVIEMBRE,7797
216,Carne de ave / pollo entero - 1kg,Marca mas económica,2007,DICIEMBRE,8014
217,Carne de ave / Ala - 1kg,Marca mas económica,2007,MAYO,8355
218,Carne de ave / Ala - 1kg,Marca mas económica,2007,JUNIO,7974
219,Carne de ave / Ala - 1kg,Marca mas económica,2007,JULIO,8164
220,Carne de ave / Ala - 1kg,Marca mas económica,2007,AGOSTO,8641
221,Carne de ave / Ala - 1kg,Marca mas económica,2007,SETIEMBRE,8721
222,Carne de ave / Ala - 1kg,Marca mas económica,2007,OCTUBRE,8743
223,Carne de ave / Ala - 1kg,Marca mas económica,2007,NOVIEMBRE,8920
224,Carne de ave / Ala - 1kg,Marca mas económica,2007,DICIEMBRE,9159
225,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,MAYO,7926
226,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,JUNIO,8000
227,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,JULIO,7946
228,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,AGOSTO,7883
229,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,SETIEMBRE,7812
230,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,OCTUBRE,7237
231,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,NOVIEMBRE,7987
232,Carne de ave / Tacaraa - 1kg,Marca mas económica,2007,DICIEMBRE,7954
233,Carne de ave / Hígado - 1kg,Marca mas económica,2007,MAYO,5467
234,Carne de ave / Hígado - 1kg,Marca mas económica,2007,JUNIO,5344
235,Carne de ave / Hígado - 1kg,Marca mas económica,2007,JULIO,5262
236,Carne de ave / Hígado - 1kg,Marca mas económica,2007,AGOSTO,5163
237,Carne de ave / Hígado - 1kg,Marca mas económica,2007,SETIEMBRE,5162
