Nº,PRODUCTO,RUBRO,ANHO,MES,PRECIO
166,Carne bovina - 1kg,Carnaza de blanca,2009,OCTUBRE,20649
167,Carne bovina - 1kg,Carnaza de blanca,2009,NOVIEMBE,20930
168,Carne bovina - 1kg,Carnaza de blanca,2009,DICIEMBRE,20245
169,Carne bovina - 1kg,Carnaza de blanca,2009,PROMEDIO,19312
170,Carne bovina - 1kg,Lomo,2009,ENERO,24080
171,Carne bovina - 1kg,Lomo,2009,FEBRERO,24220
172,Carne bovina - 1kg,Lomo,2009,MARZO,24688
173,Carne bovina - 1kg,Lomo,2009,ABRIL,24681
174,Carne bovina - 1kg,Lomo,2009,MAYO,23557
175,Carne bovina - 1kg,Lomo,2009,JUNIO,24862
176,Carne bovina - 1kg,Lomo,2009,JULIO,25822
177,Carne bovina - 1kg,Lomo,2009,AGOSTO,26830
178,Carne bovina - 1kg,Lomo,2009,SETIEMBRE,26668
179,Carne bovina - 1kg,Lomo,2009,OCTUBRE,26097
180,Carne bovina - 1kg,Lomo,2009,NOVIEMBE,26917
181,Carne bovina - 1kg,Lomo,2009,DICIEMBRE,27916
182,Carne bovina - 1kg,Lomo,2009,PROMEDIO,25528
183,Carne bovina - 1kg,Carne molida de primera,2009,ENERO,20476
184,Carne bovina - 1kg,Carne molida de primera,2009,FEBRERO,19360
185,Carne bovina - 1kg,Carne molida de primera,2009,MARZO,19430
186,Carne bovina - 1kg,Carne molida de primera,2009,ABRIL,19127
187,Carne bovina - 1kg,Carne molida de primera,2009,MAYO,18749
188,Carne bovina - 1kg,Carne molida de primera,2009,JUNIO,19507
189,Carne bovina - 1kg,Carne molida de primera,2009,JULIO,20563
190,Carne bovina - 1kg,Carne molida de primera,2009,AGOSTO,21837
191,Carne bovina - 1kg,Carne molida de primera,2009,SETIEMBRE,21639
192,Carne bovina - 1kg,Carne molida de primera,2009,OCTUBRE,21692
193,Carne bovina - 1kg,Carne molida de primera,2009,NOVIEMBE,21890
194,Carne bovina - 1kg,Carne molida de primera,2009,DICIEMBRE,21722
195,Carne bovina - 1kg,Carne molida de primera,2009,PROMEDIO,20499
196,Carne bovina - 1kg,Carne molida de segunda,2009,ENERO,11170
197,Carne bovina - 1kg,Carne molida de segunda,2009,FEBRERO,10424
198,Carne bovina - 1kg,Carne molida de segunda,2009,MARZO,10492
199,Carne bovina - 1kg,Carne molida de segunda,2009,ABRIL,9983
200,Carne bovina - 1kg,Carne molida de segunda,2009,MAYO,9883
201,Carne bovina - 1kg,Carne molida de segunda,2009,JUNIO,10404
202,Carne bovina - 1kg,Carne molida de segunda,2009,JULIO,11471
203,Carne bovina - 1kg,Carne molida de segunda,2009,AGOSTO,11939
204,Carne bovina - 1kg,Carne molida de segunda,2009,SETIEMBRE,12208
205,Carne bovina - 1kg,Carne molida de segunda,2009,OCTUBRE,11934
206,Carne bovina - 1kg,Carne molida de segunda,2009,NOVIEMBE,11672
207,Carne bovina - 1kg,Carne molida de segunda,2009,DICIEMBRE,11389
208,Carne bovina - 1kg,Carne molida de segunda,2009,PROMEDIO,11081
209,Carne bovina - 1kg,Costilla,2009,ENERO,14875
210,Carne bovina - 1kg,Costilla,2009,FEBRERO,12519
211,Carne bovina - 1kg,Costilla,2009,MARZO,11372
212,Carne bovina - 1kg,Costilla,2009,ABRIL,12363
213,Carne bovina - 1kg,Costilla,2009,MAYO,11276
214,Carne bovina - 1kg,Costilla,2009,JUNIO,11710
215,Carne bovina - 1kg,Costilla,2009,JULIO,11704
216,Carne bovina - 1kg,Costilla,2009,AGOSTO,11774
217,Carne bovina - 1kg,Costilla,2009,SETIEMBRE,13421
218,Carne bovina - 1kg,Costilla,2009,OCTUBRE,13355
219,Carne bovina - 1kg,Costilla,2009,NOVIEMBE,12027
220,Carne bovina - 1kg,Costilla,2009,DICIEMBRE,14897
221,Carne bovina - 1kg,Costilla,2009,PROMEDIO,12608
222,Carne bovina - 1kg,Higado,2009,ENERO,6415
223,Carne bovina - 1kg,Higado,2009,FEBRERO,6937
224,Carne bovina - 1kg,Higado,2009,MARZO,7397
225,Carne bovina - 1kg,Higado,2009,ABRIL,7675
226,Carne bovina - 1kg,Higado,2009,MAYO,7234
227,Carne bovina - 1kg,Higado,2009,JUNIO,7408
228,Carne bovina - 1kg,Higado,2009,JULIO,7296
229,Carne bovina - 1kg,Higado,2009,AGOSTO,7666
230,Carne bovina - 1kg,Higado,2009,SETIEMBRE,7742
231,Carne bovina - 1kg,Higado,2009,OCTUBRE,7794
232,Carne bovina - 1kg,Higado,2009,NOVIEMBE,7957
233,Carne bovina - 1kg,Higado,2009,DICIEMBRE,7085
234,Carne bovina - 1kg,Higado,2009,PROMEDIO,7384
235,Carne bovina - 1kg,Corazon,2009,ENERO,6663
236,Carne bovina - 1kg,Corazon,2009,FEBRERO,6453
237,Carne bovina - 1kg,Corazon,2009,MARZO,7192
238,Carne bovina - 1kg,Corazon,2009,ABRIL,7251
239,Carne bovina - 1kg,Corazon,2009,MAYO,6807
240,Carne bovina - 1kg,Corazon,2009,JUNIO,7205
241,Carne bovina - 1kg,Corazon,2009,JULIO,6989
242,Carne bovina - 1kg,Corazon,2009,AGOSTO,7014
243,Carne bovina - 1kg,Corazon,2009,SETIEMBRE,7000
244,Carne bovina - 1kg,Corazon,2009,OCTUBRE,7332
245,Carne bovina - 1kg,Corazon,2009,NOVIEMBE,7755
246,Carne bovina - 1kg,Corazon,2009,DICIEMBRE,7492
247,Carne bovina - 1kg,Corazon,2009,PROMEDIO,7096
248,Carne bovina - 1kg,Mondongo,2009,ENERO,7096
249,Carne bovina - 1kg,Mondongo,2009,FEBRERO,7858
250,Carne bovina - 1kg,Mondongo,2009,MARZO,8094
251,Carne bovina - 1kg,Mondongo,2009,ABRIL,8425
252,Carne bovina - 1kg,Mondongo,2009,MAYO,8324
253,Carne bovina - 1kg,Mondongo,2009,JUNIO,9079
254,Carne bovina - 1kg,Mondongo,2009,JULIO,9221
255,Carne bovina - 1kg,Mondongo,2009,AGOSTO,9311
256,Carne bovina - 1kg,Mondongo,2009,SETIEMBRE,9437
257,Carne bovina - 1kg,Mondongo,2009,OCTUBRE,9333
258,Carne bovina - 1kg,Mondongo,2009,NOVIEMBE,8836
