Nº,PRODUCTO,RUBRO,ANHO,MES,PRECIO
798,"Fruta,hortaliza - 1kg",Zanahoria,2009,MAYO,4792
799,"Fruta,hortaliza - 1kg",Zanahoria,2009,JUNIO,4557
800,"Fruta,hortaliza - 1kg",Zanahoria,2009,JULIO,4666
801,"Fruta,hortaliza - 1kg",Zanahoria,2009,AGOSTO,4604
802,"Fruta,hortaliza - 1kg",Zanahoria,2009,SETIEMBRE,3926
803,"Fruta,hortaliza - 1kg",Zanahoria,2009,OCTUBRE,3088
804,"Fruta,hortaliza - 1kg",Zanahoria,2009,NOVIEMBE,2879
805,"Fruta,hortaliza - 1kg",Zanahoria,2009,DICIEMBRE,3574
806,"Fruta,hortaliza - 1kg",Zanahoria,2009,PROMEDIO,4137
807,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,ENERO,5275
808,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,FEBRERO,4206
809,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,MARZO,3836
810,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,ABRIL,4639
811,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,MAYO,4699
812,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,JUNIO,4535
813,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,JULIO,4230
814,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,AGOSTO,5431
815,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,SETIEMBRE,6114
816,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,OCTUBRE,7263
817,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,NOVIEMBE,5000
818,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,DICIEMBRE,6223
819,"Fruta,hortaliza - 1kg",Tomate Sta. Cruz,2009,PROMEDIO,5121
820,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,ENERO,3052
821,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,FEBRERO,3166
822,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,MARZO,2815
823,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,ABRIL,2402
824,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,MAYO,1964
825,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,JUNIO,2225
826,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,JULIO,2379
827,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,AGOSTO,3469
828,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,SETIEMBRE,4231
829,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,OCTUBRE,4462
830,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,NOVIEMBE,3484
831,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,DICIEMBRE,3257
832,"Fruta,hortaliza - 1kg",Cebolla de cabeza,2009,PROMEDIO,3076
833,"Fruta,hortaliza - 1kg",Mandioca,2009,ENERO,1578
834,"Fruta,hortaliza - 1kg",Mandioca,2009,FEBRERO,1445
835,"Fruta,hortaliza - 1kg",Mandioca,2009,MARZO,1290
836,"Fruta,hortaliza - 1kg",Mandioca,2009,ABRIL,1085
837,"Fruta,hortaliza - 1kg",Mandioca,2009,MAYO,1020
838,"Fruta,hortaliza - 1kg",Mandioca,2009,JUNIO,1080
839,"Fruta,hortaliza - 1kg",Mandioca,2009,JULIO,1054
840,"Fruta,hortaliza - 1kg",Mandioca,2009,AGOSTO,1019
841,"Fruta,hortaliza - 1kg",Mandioca,2009,SETIEMBRE,1066
842,"Fruta,hortaliza - 1kg",Mandioca,2009,OCTUBRE,1099
843,"Fruta,hortaliza - 1kg",Mandioca,2009,NOVIEMBE,1140
844,"Fruta,hortaliza - 1kg",Mandioca,2009,DICIEMBRE,1115
845,"Fruta,hortaliza - 1kg",Mandioca,2009,PROMEDIO,1166
846,"Fruta,hortaliza - 1kg",Papa negra,2009,ENERO,3189
847,"Fruta,hortaliza - 1kg",Papa negra,2009,FEBRERO,3226
848,"Fruta,hortaliza - 1kg",Papa negra,2009,MARZO,3032
849,"Fruta,hortaliza - 1kg",Papa negra,2009,ABRIL,2372
850,"Fruta,hortaliza - 1kg",Papa negra,2009,MAYO,2472
851,"Fruta,hortaliza - 1kg",Papa negra,2009,JUNIO,2599
852,"Fruta,hortaliza - 1kg",Papa negra,2009,JULIO,2754
853,"Fruta,hortaliza - 1kg",Papa negra,2009,AGOSTO,3239
854,"Fruta,hortaliza - 1kg",Papa negra,2009,SETIEMBRE,3611
855,"Fruta,hortaliza - 1kg",Papa negra,2009,OCTUBRE,5334
856,"Fruta,hortaliza - 1kg",Papa negra,2009,NOVIEMBE,4627
857,"Fruta,hortaliza - 1kg",Papa negra,2009,DICIEMBRE,4140
858,"Fruta,hortaliza - 1kg",Papa negra,2009,PROMEDIO,3383
859,Sal fina - 500gr,Marca mas económica,2009,ENERO,1064
860,Sal fina - 500gr,Marca mas económica,2009,FEBRERO,1092
861,Sal fina - 500gr,Marca mas económica,2009,MARZO,1133
862,Sal fina - 500gr,Marca mas económica,2009,ABRIL,1097
863,Sal fina - 500gr,Marca mas económica,2009,MAYO,1089
864,Sal fina - 500gr,Marca mas económica,2009,JUNIO,1106
865,Sal fina - 500gr,Marca mas económica,2009,JULIO,1105
866,Sal fina - 500gr,Marca mas económica,2009,AGOSTO,1116
867,Sal fina - 500gr,Marca mas económica,2009,SETIEMBRE,1127
868,Sal fina - 500gr,Marca mas económica,2009,OCTUBRE,1137
869,Sal fina - 500gr,Marca mas económica,2009,NOVIEMBE,1128
870,Sal fina - 500gr,Marca mas económica,2009,DICIEMBRE,1153
871,Sal fina - 500gr,Marca mas económica,2009,PROMEDIO,1112
872,Papel higienico - 4 unid.,Marca mas economica,2009,ENERO,1558
873,Papel higienico - 4 unid.,Marca mas economica,2009,FEBRERO,1884
874,Papel higienico - 4 unid.,Marca mas economica,2009,MARZO,1855
875,Papel higienico - 4 unid.,Marca mas economica,2009,ABRIL,1874
876,Papel higienico - 4 unid.,Marca mas economica,2009,MAYO,1901
877,Papel higienico - 4 unid.,Marca mas economica,2009,JUNIO,1854
878,Papel higienico - 4 unid.,Marca mas economica,2009,JULIO,1908
879,Papel higienico - 4 unid.,Marca mas economica,2009,AGOSTO,2012
880,Papel higienico - 4 unid.,Marca mas economica,2009,SETIEMBRE,1987
881,Papel higienico - 4 unid.,Marca mas economica,2009,OCTUBRE,1939
882,Papel higienico - 4 unid.,Marca mas economica,2009,NOVIEMBE,1916
883,Papel higienico - 4 unid.,Marca mas economica,2009,DICIEMBRE,1926
884,Papel higienico - 4 unid.,Marca mas economica,2009,PROMEDIO,1885
885,Detergente liquido - 1/2 lt,Marca mas economica,2009,ENERO,2764
886,Detergente liquido - 1/2 lt,Marca mas economica,2009,FEBRERO,1632
887,Detergente liquido - 1/2 lt,Marca mas economica,2009,MARZO,1784
888,Detergente liquido - 1/2 lt,Marca mas economica,2009,ABRIL,1826
889,Detergente liquido - 1/2 lt,Marca mas economica,2009,MAYO,1806
890,Detergente liquido - 1/2 lt,Marca mas economica,2009,JUNIO,1802
891,Detergente liquido - 1/2 lt,Marca mas economica,2009,JULIO,1808
892,Detergente liquido - 1/2 lt,Marca mas economica,2009,AGOSTO,1848
893,Detergente liquido - 1/2 lt,Marca mas economica,2009,SETIEMBRE,1874
894,Detergente liquido - 1/2 lt,Marca mas economica,2009,OCTUBRE,1825
895,Detergente liquido - 1/2 lt,Marca mas economica,2009,NOVIEMBE,1783
896,Detergente liquido - 1/2 lt,Marca mas economica,2009,DICIEMBRE,1793
897,Detergente liquido - 1/2 lt,Marca mas economica,2009,PROMEDIO,1879
898,Lavandina - 1lt,Marca mas economica,2009,ENERO,4296
899,Lavandina - 1lt,Marca mas economica,2009,FEBRERO,2588
900,Lavandina - 1lt,Marca mas economica,2009,MARZO,2456
901,Lavandina - 1lt,Marca mas economica,2009,ABRIL,2419
902,Lavandina - 1lt,Marca mas economica,2009,MAYO,2437
903,Lavandina - 1lt,Marca mas economica,2009,JUNIO,2496
904,Lavandina - 1lt,Marca mas economica,2009,JULIO,2434
905,Lavandina - 1lt,Marca mas economica,2009,AGOSTO,2394
906,Lavandina - 1lt,Marca mas economica,2009,SETIEMBRE,2330
907,Lavandina - 1lt,Marca mas economica,2009,OCTUBRE,2396
908,Lavandina - 1lt,Marca mas economica,2009,NOVIEMBE,2454
909,Lavandina - 1lt,Marca mas economica,2009,DICIEMBRE,2444
910,Lavandina - 1lt,Marca mas economica,2009,PROMEDIO,2595
911,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,ENERO,1756
912,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,FEBRERO,4233
913,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,MARZO,4013
914,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,ABRIL,3966
915,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,MAYO,3952
916,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,JUNIO,3809
917,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,JULIO,3999
918,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,AGOSTO,4004
919,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,SETIEMBRE,4044
920,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,OCTUBRE,4031
921,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,NOVIEMBE,3897
922,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,DICIEMBRE,3974
923,Jabon en polvo p/ lavar-400gr,Marca mas economica,2009,PROMEDIO,3807
924,Jabon de baño - 90gr,Marca mas economica,2009,ENERO,1190
925,Jabon de baño - 90gr,Marca mas economica,2009,FEBRERO,1280
926,Jabon de baño - 90gr,Marca mas economica,2009,MARZO,1164
927,Jabon de baño - 90gr,Marca mas economica,2009,ABRIL,1157
928,Jabon de baño - 90gr,Marca mas economica,2009,MAYO,1124
929,Jabon de baño - 90gr,Marca mas economica,2009,JUNIO,1103
930,Jabon de baño - 90gr,Marca mas economica,2009,JULIO,1106
931,Jabon de baño - 90gr,Marca mas economica,2009,AGOSTO,1111
932,Jabon de baño - 90gr,Marca mas economica,2009,SETIEMBRE,1099
933,Jabon de baño - 90gr,Marca mas economica,2009,OCTUBRE,1131
934,Jabon de baño - 90gr,Marca mas economica,2009,NOVIEMBE,1198
935,Jabon de baño - 90gr,Marca mas economica,2009,DICIEMBRE,1206
936,Jabon de baño - 90gr,Marca mas economica,2009,PROMEDIO,1156
937,Crema dental - 90gr,Marca mas economica,2009,ENERO,3983
938,Crema dental - 90gr,Marca mas economica,2009,FEBRERO,4062
939,Crema dental - 90gr,Marca mas economica,2009,MARZO,4062
940,Crema dental - 90gr,Marca mas economica,2009,ABRIL,4013
941,Crema dental - 90gr,Marca mas economica,2009,MAYO,3998
942,Crema dental - 90gr,Marca mas economica,2009,JUNIO,4152
943,Crema dental - 90gr,Marca mas economica,2009,JULIO,4192
944,Crema dental - 90gr,Marca mas economica,2009,AGOSTO,4297
945,Crema dental - 90gr,Marca mas economica,2009,SETIEMBRE,4293
946,Crema dental - 90gr,Marca mas economica,2009,OCTUBRE,4265
947,Crema dental - 90gr,Marca mas economica,2009,NOVIEMBE,4211
948,Crema dental - 90gr,Marca mas economica,2009,DICIEMBRE,4208
949,Crema dental - 90gr,Marca mas economica,2009,PROMEDIO,4145
