Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
6,A granel - 1kg,Arroz,2010,MARZO,2749
6,A granel - 1kg,Arroz,2010,ABRIL,2809
6,A granel - 1kg,Arroz,2010,MAYO,2707
6,A granel - 1kg,Arroz,2010,JUNIO,2622
6,A granel - 1kg,Arroz,2010,JULIO,2736
6,A granel - 1kg,Arroz,2010,AGOSTO,2785
6,A granel - 1kg,Arroz,2010,SETIEMBRE,2638
6,A granel - 1kg,Arroz,2010,OCTUBRE,3372
6,A granel - 1kg,Arroz,2010,NOVIEMBE,3538
6,A granel - 1kg,Arroz,2010,DICIEMBRE,3014
6,A granel - 1kg,Arroz,2010,PROMEDIO,2887
7,A granel - 1kg,Azúcar,2010,ENERO,5011
7,A granel - 1kg,Azúcar,2010,FEBRERO,5103
7,A granel - 1kg,Azúcar,2010,MARZO,5572
7,A granel - 1kg,Azúcar,2010,ABRIL,5633
7,A granel - 1kg,Azúcar,2010,MAYO,5523
7,A granel - 1kg,Azúcar,2010,JUNIO,5356
7,A granel - 1kg,Azúcar,2010,JULIO,5437
7,A granel - 1kg,Azúcar,2010,AGOSTO,4896
7,A granel - 1kg,Azúcar,2010,SETIEMBRE,5143
7,A granel - 1kg,Azúcar,2010,OCTUBRE,6589
7,A granel - 1kg,Azúcar,2010,NOVIEMBE,6855
7,A granel - 1kg,Azúcar,2010,DICIEMBRE,5784
7,A granel - 1kg,Azúcar,2010,PROMEDIO,5575
8,A granel - 1kg,Harina,2010,ENERO,2042
8,A granel - 1kg,Harina,2010,FEBRERO,1980
8,A granel - 1kg,Harina,2010,MARZO,1921
8,A granel - 1kg,Harina,2010,ABRIL,1869
8,A granel - 1kg,Harina,2010,MAYO,1845
8,A granel - 1kg,Harina,2010,JUNIO,1946
8,A granel - 1kg,Harina,2010,JULIO,1912
8,A granel - 1kg,Harina,2010,AGOSTO,1933
8,A granel - 1kg,Harina,2010,SETIEMBRE,1935
8,A granel - 1kg,Harina,2010,OCTUBRE,2393
8,A granel - 1kg,Harina,2010,NOVIEMBE,2530
8,A granel - 1kg,Harina,2010,DICIEMBRE,2140
8,A granel - 1kg,Harina,2010,PROMEDIO,2037
9,A granel - 1kg,Maíz,2010,ENERO,4326
9,A granel - 1kg,Maíz,2010,FEBRERO,3826
9,A granel - 1kg,Maíz,2010,MARZO,3127
9,A granel - 1kg,Maíz,2010,ABRIL,2498
9,A granel - 1kg,Maíz,2010,MAYO,2461
9,A granel - 1kg,Maíz,2010,JUNIO,2185
9,A granel - 1kg,Maíz,2010,JULIO,2819
9,A granel - 1kg,Maíz,2010,AGOSTO,2321
9,A granel - 1kg,Maíz,2010,SETIEMBRE,2223
9,A granel - 1kg,Maíz,2010,OCTUBRE,3002
9,A granel - 1kg,Maíz,2010,NOVIEMBE,3137
9,A granel - 1kg,Maíz,2010,DICIEMBRE,2701
9,A granel - 1kg,Maíz,2010,PROMEDIO,2885
10,A granel - 1kg,Yerba,2010,ENERO,3383
10,A granel - 1kg,Yerba,2010,FEBRERO,3158
10,A granel - 1kg,Yerba,2010,MARZO,3193
10,A granel - 1kg,Yerba,2010,ABRIL,3254
10,A granel - 1kg,Yerba,2010,MAYO,3141
10,A granel - 1kg,Yerba,2010,JUNIO,3271
10,A granel - 1kg,Yerba,2010,JULIO,3203
10,A granel - 1kg,Yerba,2010,AGOSTO,3280
10,A granel - 1kg,Yerba,2010,SETIEMBRE,3184
10,A granel - 1kg,Yerba,2010,OCTUBRE,4020
10,A granel - 1kg,Yerba,2010,NOVIEMBE,4239
10,A granel - 1kg,Yerba,2010,DICIEMBRE,3585
10,A granel - 1kg,Yerba,2010,PROMEDIO,3409
11,Carne bovina - 1kg,Puchero de primera,2010,ENERO,9189
11,Carne bovina - 1kg,Puchero de primera,2010,FEBRERO,8510
11,Carne bovina - 1kg,Puchero de primera,2010,MARZO,8315
11,Carne bovina - 1kg,Puchero de primera,2010,ABRIL,8573
11,Carne bovina - 1kg,Puchero de primera,2010,MAYO,8470
11,Carne bovina - 1kg,Puchero de primera,2010,JUNIO,8960
11,Carne bovina - 1kg,Puchero de primera,2010,JULIO,8565
